HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
HP:0025441	Achilles tendon calcification	跟腱钙化	Ectopic deposition of calcium salts in the Achilles tendon.	校对中...
HP:0025443	Abnormal cardiac atrial physiology	心脏房生理异常	An abnormality of the function of the cardiac atria.	校对中...
HP:0025444	Reduced amygdala volume	杏仁核体积减小	A decrease in the volume (size) of the amygdyla.	校对中...
HP:0025445	Morphological abnormality of the papillary muscles	乳头肌形态异常	Any structural anomaly of the papillary muscles of the left ventricle.	校对中...
HP:0025446	Anomalous insertion of papillary muscle directly into anterior mitral leaflet	乳头肌异常性直接插入前二尖瓣叶	A congenital malformation in which one or both of the papillary muscles (posteromedial or anterolateral) insert directly (that is, without interpositioned chordae tendineae) into the anterior mitral leaflet.	校对中...
HP:0025447	Displacement of the papillary muscles	乳头肌移位	Abnormal location of the insertion of a papillary muscle into the left ventricular wall.	校对中...
HP:0025448	Anterior displacement of the papillary muscles	乳头肌前移位	Abnormally anterior location of the papillary muscles of the left ventricle.	校对中...
HP:0025449	Apically displaced anterolateral papillary muscle	前外侧乳头肌顶端移位	Abnormal location of the insertion of the anterolateral papillary muscle near to the apex of the left ventricle. This feature may be appreciated by noting that this muscle is usually not seen in the apical level of the parasternal short-axis echocardiographic view,	校对中...
HP:0025451	Testicular adrenal rest tumor	睾丸肾上腺残余肿瘤	Testicular adrenal rest tumor (TART) is a abenign tumor of the testis. TART generally occurs multiply and bilaterally within the rete testis. Histologically, TART resemble adrenocortical tissue, which led to the name. The tumous are not encapsulated and consist of sheets or confluent cords of large polygonal cells with abundant eosinophilic cytoplasm.	校对中...
HP:0025452	Pyoderma gangrenosum	坏疽性脓皮病	A deep skin ulcer with a well defined border, which is usually violet or blue. The ulcer edge is often undermined (worn and damaged) and the surrounding skin is erythematous and indurated. The ulcer often starts as a small papule or collection of papules, which break down to form small ulcers with a so called cat's paw appearance. These coalesce and the central area then undergoes necrosis to form a single ulcer.	校对中...
HP:0025453	Delayed adrenarche	肾上腺始动延迟	Occurence of adrenarche at a later than normal age. Adrenarche normally occurs between six and eight years of age with increased adrenal androgen secretion; its exact biologic role is not well understood. It is accompanied by changes in pilosebaceous units, a transient growth spurt and the appearance of axillary and pubic hair in some children, but no sexual development.	校对中...
HP:0025454	Abnormal CSF metabolite level	脑脊液代谢物水平异常	Any deviation from the normal range of concentration of a metabolite in the cerebrospinal fluid.	校对中...
HP:0025455	Decreased CSF 5-hydroxyindolacetic acid	脑脊液中5-羟基吲哚乙酸下降	CSF 5-HIAA (5-hydroxyindolacetic acid) level is below the lower limit of normal.	校对中...
HP:0025456	Abnormal CSF protein level	脑脊液蛋白水平异常	Any deviation from the normal range of a protein concentration in the cerebrospinal fluid.	校对中...
HP:0025457	Decreased CSF protein	脑脊液蛋白下降	CSF total protein level is below the lower limit of normal.	校对中...
HP:0025458	Decreased CSF albumin concentration	脑脊液白蛋白下降	CSF albumin level is below the lower limit of normal.	校对中...
HP:0025459	Increased CSF/serum albumin ratio	脑脊液白蛋白与血清白蛋白的比值增加	An increase above normal limits of the ratio of the cerebrospinal fluid (CSF) albumin concentration to serum albumin concentration.	校对中...
HP:0025460	High myoinositol in brain by MRS	MRS分析大脑肌醇水平偏高	An elevated level of myoinositol in the brain identified by magnetic resonance spectroscopy (MRS).	校对中...
HP:0025461	Abnormal cell morphology	细胞形态异常	Any anomaly of cell structure.	校对中...
HP:0025463	Abnormality of redox activity	氧化还原活性异常	An abnormality of the processes that maintain the redox environment of a cell or compartment within a cell, that is, the balance between reduction and oxidation chemical reactions.	校对中...
HP:0025464	Increased reactive oxygen species production	活性氧产生增加	An accumulation of free radical groups in the body inadequately neutralized by antioxidants, which creates a potentially unstable and damaging cellular environment linked to tissue damage.	校对中...
HP:0025465	Abnormal circulating beta globulin level	循环β-球蛋白水平异常	A deviation from the normal concentration of beta globulin. The beta globulins are a group of globular (globe-shaped) proteins in blood.	校对中...
HP:0025466	Beta 2-microglobulinuria	β2-微球蛋白尿症	Increased level of beta 2-microglobulins in the urine.	校对中...
HP:0025469	Anagen effluvium	再生期脱发	An abnormal loss of anagen (growth phase) hairs.	校对中...
HP:0025470	Telogen effluvium	静止期脱发	A type of hair loss characterized by an abnormal increase in dormant, telogen stage hair follicles.	校对中...
HP:0025471	Congenital panfollicular nevus	先天性全毛囊痣	A hamartomatous proliferation containing malformed hair follicles in various stages of development. Panfolliculomas are well-circumscribed lesions demonstrating all stages of follicular differentiation.	校对中...
HP:0025472	Recurrent plantar mycosis	复发性足底真菌病	A history of repeated fungal infections located on the sole of the foot, usually manifested by scaling, maceration, and itching.	校对中...
HP:0025473	Hyperpigmented papule	色素沉着性丘疹	A papule (circumscribed, solid elevation of skin with no visible fluid, varying in size from a pinhead to less than 10mm in diameter at the widest point) that exhibits increased pigmentation (is darker) compared to the surrounding skin.	校对中...
HP:0025474	Erythematous plaque	红斑	A plaque (a solid, raised, plateau-like (flat-topped) lesion greater than 1 cm in diameter) with a red or reddish color often associated with inflammation or irritation.	校对中...
HP:0025475	Erythematous macule	红斑病	A macule (flat, distinct, discolored area of skin less than 1 cm wide that does not involve any change in the thickness or texture of the skin) with a red or reddish color often associated with inflammation or irritation.	校对中...
HP:0025476	Testicular lipomatosis	睾丸脂肪瘤	Multiple foci of adipocytes within the testicular interstitium, usually presenting as multiple bilateral ill-defined hyperechoic intratesticular lesions of different sizes but generally with maximum diameter of 4 mm.	校对中...
HP:0025477	Periarticular calcification	关节周围钙化	Calcified deposits in soft tissue structures outside a joint.	校对中...
HP:0025478	Atrial standstill	心房静止	Atrial standstill or silent atrium is a rare condition presenting with the absence of electrical and mechanical activity in the atria. It presents with the absence of P waves, bradycardia, and wide QRS complex in the electrocardiogram.	校对中...
HP:0025479	Self-neglect	自我忽视	Neglecting one's own needs and well-being.	校对中...
HP:0025480	Lipomyelomeningocele	脂肪脊髓脊膜膨出	A type of spinal dysraphism presenting as a subcutaneous fatty mass, that is, a spinal defect associated with lipomatous tissue, and covered by skin. The most usual location for lipomyelomeningocele is at the gluteal cleft.	校对中...
HP:0025481	Cervical hemivertebrae	颈椎半椎体	Absence of one half of the vertebral body in the cervical spine.	校对中...
HP:0025482	Positive perchlorate discharge test	过氯酸盐释放试验阳性	An abnormal result of the perchlorate discharge test. In this test, first radioactive iodine is administered, sufficinet time is allowed to pass so that the radioactive iodine is captured by the thyroid,and then, perchlorate is administered orally. The perchlorate displaces non-organified iodide from the thyroid. The perchlorate discharge test is considered positive (abnormal) if there is an abnormally rapid loss of radioactive iodine from the thyroid.	校对中...
HP:0025483	Abnormal circulating thyroglobulin level	循环甲状腺球蛋白水平异常	A deviation from the normal concentration of thyroglobulin, a protein produced in the thyroid gland that acts as a precursor to thyrroid hormones.	校对中...
HP:0025484	Increased circulating thyroglobulin level	循环甲状腺球蛋白水平增高	An abnormal elevation of the concentration of thyroglobulin, a protein produced in the thyroid gland that acts as a precursor to thyrroid hormones.	校对中...
HP:0025485	Vaginal adenosis	阴道腺病	Vaginal adenosis is defined by the presence of metaplastic cervical or endometrial epithelium within the vaginal wall, thought to be derived from persistent Müllerian (synonymous with paramesonephric) epithelium islets in postembryonic life.	校对中...
HP:0025486	Fused labia majora	融合大阴唇	The outer labia are sealed together.	校对中...
HP:0025487	Abnormality of bladder morphology	膀胱形态异常	Any structural anomaly of the bladder.	校对中...
